,"Type","Date","Name","Num","Item","Qty","Cost","On Hand","Avg Cost","Asset Value"
"Inventory",,,,,,,,"",,""
"0331/KHAKI S/M (FELT IVY, KHAKI)",,,,,,,,"",,""
,"Invoice","07/26/2011","3 U ENTERRPISE INC.","19260","0640",-216,"",204,0.00,0.00
,"Invoice","10/06/2011","NO CLOTHES","20083","0640",-6,"",198,0.00,0.00
,"Inventory Adjust","06/18/2012",,"139","0640",-198,"",0,0.00,0.00
,"Item Receipt","10/26/2013","RETURN","3U 8193","0640",60,0.00,60,0.00,0.00
,"Item Receipt","10/26/2013","RETURN","3U 8193","0640",132,0.00,192,0.00,0.00
,"Invoice","11/07/2013","S/EPOCH","26955","0640",-24,"",168,0.00,0.00
,"Invoice","06/09/2019","test invoicing test","412461","0640",-1,"",167,0.00,0.00
,"Invoice","06/15/2019","test invoicing test","412509","0640",-2,"",165,0.00,0.00
,"Invoice","06/15/2019","test invoicing test","412511","0640",-1,"",164,0.00,0.00
,"Invoice","06/15/2019","test invoicing test","412512","0640",-1,"",163,0.00,0.00
,"Invoice","06/15/2019","test invoicing test","412513","0640",-1,"",162,0.00,0.00
"Total 0640 (CAP/REBEL)",,,,,,,,162.00,,0.00
"0937/B (CADET HAT, BLACK COLOR)",,,,,,,,"",,""
,"Inventory Adjust","01/02/2011",,,"0937/B",576,"",576,0.00,0.00
,"Invoice","03/21/2011","S/EPOCH","18338","0937/B",-144,"",432,0.00,0.00
,"Inventory Adjust","03/28/2011",,"72","0937/B",-336,"",96,0.00,0.00
,"Invoice","03/31/2011","LID FACTORY LTD","18438","0937/B",-12,"",84,0.00,0.00
,"Invoice","04/19/2011","SAM YOUNG(CLOSED)","18609","0937/B",-12,"",72,0.00,0.00
,"Invoice","05/09/2011","S/EPOCH","18733","0937/B",-72,"",0,0.00,0.00
,"Inventory Adjust","07/18/2011",,"113","0937/B",144,"",144,0.00,0.00
,"Inventory Adjust","01/19/2012",,"88","0937/B",144,"",288,0.00,0.00
,"Invoice","01/30/2012","SOUTHWEST EXCHANGE","21794","0937/B",-12,"",276,0.00,0.00
,"Invoice","03/20/2012","S/EPOCH","22155","0937/B",-144,"",132,0.00,0.00
,"Invoice","04/02/2012","TUTU HAT SHOP","22240","0937/B",-6,"",126,0.00,0.00
,"Invoice","04/02/2012","B & E DISCOVERIES","22246","0937/B",-12,"",114,0.00,0.00
,"Invoice","07/17/2012","ECHELON INTERNATIONAL INC","22953","0937/B",-24,"",90,0.00,0.00
,"Inventory Adjust","01/29/2013",,"102","0937/B",165,"",255,0.00,0.00
,"Invoice","02/19/2013","LOS TRES ELEFANTES S.A.","24815","0937/B",-12,"",243,0.00,0.00
,"Invoice","03/04/2013","MISHU BOUTIQUE","24966","0937/B",-12,"",231,0.00,0.00
,"Invoice","06/26/2013","S/EPOCH","25908","0937/B",-63,"",168,0.00,0.00
,"Item Receipt","06/26/2013","EPOCH",,"0937/B",-4,0.00,164,0.00,0.00
,"Invoice","05/13/2014","NO CLOTHES","28359","0937/B",-6,"",158,0.00,0.00
,"Invoice","04/08/2015","NYS COLLECTION (W)","31257","0937/B",-4,"",154,0.00,0.00
,"Invoice","05/29/2015","COSMIC VISION","31619","0937/B",0,"",154,0.00,0.00
,"Invoice","02/25/2016","OLIVE PIQUE","403205","0937/B",-27,"",127,0.00,0.00
,"Invoice","03/24/2016","SEASIDE MOSTLY HATS","403511","0937/B",-12,"",115,0.00,0.00
,"Invoice","04/18/2016","HATZ UP INC","403706","0937/B",-6,"",109,0.00,0.00
,"Invoice","04/27/2016","THE CLOTHING WAREHOUSE","403773","0937/B",-12,"",97,0.00,0.00
,"Invoice","06/20/2016","WILDFLOWERS NEW YORK INC","404070","0937/B",-72,"",25,0.00,0.00
,"Invoice","04/17/2017","CLASSIC COLLECTION HATS","406322","0937/B",-12,"",13,0.00,0.00
"Total 0937/B (CADET HAT, BLACK COLOR)",,,,,,,,13.00,,0.00
"0979A (FUR IVY,ASSORTED COLOR, FINAL SALE)",,,,,,,,"",,""
,"Inventory Adjust","03/18/2011",,,"0979A",996,"",996,0.00,0.00
,"Inventory Adjust","07/18/2011",,"111","0979A",-24,"",972,0.00,0.00
,"Inventory Adjust","07/18/2011",,"113","0979A",12,"",984,0.00,0.00
,"Inventory Adjust","06/27/2012",,"140","0979A",-120,"",864,0.00,0.00
,"Invoice","11/20/2012","LUCY'S HANDMADE CLOTHING SHOP","24365","0979A",-12,"",852,0.00,0.00
,"Invoice","07/22/2013","SALON & WELLNESS SPA","26029","0979A",-12,"",840,0.00,0.00
,"Item Receipt","07/22/2013","EPOCH",,"0979A",-552,0.00,288,0.00,0.00
,"Item Receipt","10/11/2013","ADJUST",,"0979A",-288,0.00,0,0.00,0.00
,"Item Receipt","12/19/2013","ADJUST",,"0979A",60,0.00,60,0.00,0.00
,"Invoice","11/27/2014","S/EPOCH","30164","0979A",-7,"",53,0.00,0.00
"Total 0979A (FUR IVY,ASSORTED COLOR, FINAL SALE)",,,,,,,,53.00,,0.00
"5LASER BLACK (5 PANEL LASER-CUT WATERPROOF PERFORATED SNAPBACK CAPS, BLACK)",,,,,,,,"",,""
,"Inventory Adjust","03/10/2025",,,"5LASER BLACK",12,"",12,0.00,0.00
,"Invoice","03/18/2025","GRAND BAZAAR INC","430975","5LASER BLACK",-3,"",9,0.00,0.00
,"Build Assembly","03/31/2025",,"17","5LASER BLACK",-1,"",8,0.00,0.00
,"Build Assembly","03/31/2025",,"22","5LASER BLACK",-1,"",7,0.00,0.00
,"Build Assembly","04/22/2025",,"33","5LASER BLACK",-3,"",4,0.00,0.00
,"Item Receipt","05/20/2025","EPOCH",,"5LASER BLACK",12,0.00,16,0.00,0.00
,"Item Receipt","05/20/2025","EPOCH",,"5LASER BLACK",108,0.00,124,0.00,0.00
,"Build Assembly","05/29/2025",,"54","5LASER BLACK",-1,"",123,0.00,0.00
,"Invoice","06/13/2025","E & E BABY COUTURE","431546","5LASER BLACK",-3,"",120,0.00,0.00
,"Build Assembly","11/21/2025",,"157","5LASER BLACK",-3,"",117,0.00,0.00
"Total 5LASER BLACK (5 PANEL LASER-CUT WATERPROOF PERFORATED SNAPBACK CAPS, BLACK)",,,,,,,,117.00,,0.00
"5LASER KHAKI (5 PANEL LASER-CUT WATERPROOF PERFORATED SNAPBACK CAPS, KHAKI)",,,,,,,,"",,""
,"Inventory Adjust","03/10/2025",,,"5LASER KHAKI",12,"",12,0.00,0.00
,"Invoice","03/18/2025","GRAND BAZAAR INC","430975","5LASER KHAKI",-3,"",9,0.00,0.00
,"Build Assembly","03/31/2025",,"18","5LASER KHAKI",-1,"",8,0.00,0.00
,"Build Assembly","04/22/2025",,"35","5LASER KHAKI",-3,"",5,0.00,0.00
,"Build Assembly","05/30/2025",,"66","5LASER KHAKI",-1,"",4,0.00,0.00
