,"Active Status","Type","Item","Description","Sales Tax Code","Account","COGS Account","Asset Account","Accumulated Depreciation","Purchase Description","Quantity On Hand","Cost","Preferred Vendor","Tax Agency","Price","Reorder Pt (Min)","MPN","Location"
,"Not-active","Inventory Part","TP479","TROOPER HATS",,"Cost of Goods Sold","Cost of Goods Sold","Inventory Asset",0.00,"TROOPER HATS",0,0.00,,,5.00,"",,
,"Not-active","Inventory Part","TP479/BK","TROOPER HATS, BLACK*",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"TROOPER HATS, BLACK COLOR",0,0.00,,,5.00,"","2011 FALL/P8",
,"Not-active","Inventory Part","TP480","TROOPER HATS",,"Cost of Goods Sold","Cost of Goods Sold","Inventory Asset",0.00,"TROOPER HATS",0,0.00,,,5.00,"",,
,"Not-active","Inventory Part","TP480/A","TROOPER HATS, ASSORTED, FINAL SALE,  (4 DZ/CTN)",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"TROOPER HATS, ASSORTED COLOR, FINAL SALE,",0,0.00,,,2.50,"","V13 P8 400",
,"Not-active","Inventory Part","TP480/BK","TROOPER HATS, BLACK, FINAL SALE,   (4 DZ/CTN)",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"TROOPER HATS, BLACK COLOR, FINAL SALE,",0,0.00,,,2.50,"","V13 P8 400",
,"Not-active","Inventory Part","TP480S","TROOPER AND SCARF",,"Cost of Goods Sold","Cost of Goods Sold","Inventory Asset",0.00,"TROOPER AND SCARF",0,0.00,,,7.50,"",,
,"Not-active","Inventory Part","TP481","TROOPER HATS",,"Cost of Goods Sold","Cost of Goods Sold","Inventory Asset",0.00,"TROOPER HATS",0,0.00,,,5.00,"",,
,"Not-active","Inventory Part","TP481/A","TROOPER HATS, ASSORTED, FINAL SALE,   (6 DZ/CTN) L/5L",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"TROOPER HATS, ASSORTED COLOR, FINAL SALE,",0,0.00,,,2.50,"","V13 P8 400",
,"Not-active","Inventory Part","TP481/BK","TROOPER HATS, BLACK, FINAL SALE,  (6 DZ/CTN) L/5F",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"TROOPER HATS, BLACK COLOR, FINAL SALE,",0,0.00,,,2.50,"","V13 P8 400",
,"Not-active","Inventory Part","TP482","TROOPER HATS",,"Cost of Goods Sold","Cost of Goods Sold","Inventory Asset",0.00,"TROOPER HATS",0,0.00,,,5.00,"",,
,"Not-active","Inventory Part","TP483","TROOPER HATS",,"Cost of Goods Sold","Cost of Goods Sold","Inventory Asset",0.00,"TROOPER HATS",0,0.00,,,5.00,"",,
,"Active","Inventory Part","TP7129","FAUX FUR TRAPPER HAT, ASSORTED COLOR 12PCS",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"FAUX FUR TRAPPER HAT, ASSORTED COLOR",996,0.00,,,9.00,"",,"72/ctn L/L19"
,"Active","Inventory Part","TP7168/BLACK","VEGAN LEATHER TRAPPER HAT, BLACK 6PCS",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"VEGAN LEATHER TRAPPER HAT, BLACK",258,0.00,,,10.00,"",,"48/CTN,H2-H3"
,"Active","Inventory Part","TP7168/BROWN","VEGAN LEATHER TRAPPER HAT, BROWN 6PCS",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"VEGAN LEATHER TRAPPER HAT, BROWN",180,0.00,,,10.00,"",,"48/CTN,H2-H3"
,"Active","Inventory Part","TP7169/BLACK","TRAPPER HAT, BLACK 6PCS",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"TRAPPER HAT, BLACK",142,0.00,,,7.50,"",,"48/CTN,H2-H3"
,"Active","Inventory Part","TP7169/TAN","TRAPPER HAT, TAN 6PCS",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"TRAPPER HAT, TAN",144,0.00,,,7.50,"",,"48/CTN,H2-H3"
,"Active","Inventory Part","TP7170","VEGAN LEATHER TRAPPER HAT WITH GOGGLES, BROWN 6PCS",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"VEGAN LEATHER TRAPPER HAT WITH GOGGLES, BROWN",396,0.00,,,12.00,"",,"48/CTN,H2-H3"
,"Not-active","Inventory Part","TP73S","TRAPPER AND SCART",,"Cost of Goods Sold","Cost of Goods Sold","Inventory Asset",0.00,"TRAPPER AND SCARF",0,0.00,,,7.50,"",,
,"Active","Inventory Part","TPN1249","TROOPER HATS, ASSORTED, FINAL SALE,",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"TROOPER HATS, ASSORTED COLOR, FINAL SALE,",0,0.00,,,5.00,"","V13 P7  500","(6 DZ/CTN) L/U5-2"
,"Active","Inventory Part","TPN1251","KNIT TROOPER HATS, ASSORTED, FINAL SALE,",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"KNIT TROOPER HATS, ASSORTED COLOR, FINAL SALE,",0,0.00,,,5.00,"","V13 P7 550"," (6 DZ/CTN) L/ U3"
,"Not-active","Inventory Part","TROOPER",,,"Cost of Goods Sold","Cost of Goods Sold","Inventory Asset",0.00,,676,0.00,,,5.00,"",,
,"Not-active","Inventory Part","TRUE LOVE(I)","ASSORTED COLOR",,"Other Expenses","Cost of Goods Sold","Inventory Asset",0.00,,0,0.00,,,5.00,"",,
,"Not-active","Inventory Part","TRUE LOVE(II)","ASSORTED COLOR",,"Other Expenses","Cost of Goods Sold","Inventory Asset",0.00,,0,0.00,,,5.00,"",,
,"Not-active","Inventory Part","TS010","2 IN ONE HAT/SCARF, ASSORTED, FINAL SALE ( 6 DZ/CTN) L/6L",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"2 IN ONE HAT/SCARF, ASSORTED COLOR, FINAL SALE",0,0.00,,,2.50,"","V13 P14 250",
,"Active","Inventory Part","TW01","ROUND BEACH TOWEL / PARADISE",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"ROUND BEACH TOWEL / PARADISE",66,0.00,,,8.00,"",,"(20 PCS/CTN) L/ S7"
,"Active","Inventory Part","TW02","ROUND BEACH TOWEL / BOHEMIAN AND MANDALA  STYLE",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"ROUND BEACH TOWEL / BOHEMIAN AND MANDALA  STYLE",0,0.00,,,8.00,"",,"(20 PCS/CTN) L/ S10"
,"Active","Inventory Part","TW03","ROUND BEACH TOWEL / MANDALA STYLE",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"ROUND BEACH TOWEL / MANDALA STYLE",69,0.00,,,8.00,"",,"(20 PCS/CTN) L/ shelf"
,"Active","Inventory Part","TW05","ROUND BEACH TOWEL/US FLAG",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"ROUND BEACH TOWEL/US FLAG",42,0.00,,,8.00,"",,"(20 PCS/CTN) L/ S7"
,"Active","Inventory Part","TW06","ROUND BEACH TOWEL / BLUE AND WHITE PORCELAIN",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"ROUND BEACH TOWEL / BLUE AND WHITE PORCELAIN",70,0.00,,,8.00,"",,"(20 PCS/CTN) L/ S7"
,"Active","Inventory Part","TW07","ROUND BEACH TOWEL/ MANDALA STYLE",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"ROUND BEACH TOWEL/ MANDALA STYLE",83,0.00,,,8.00,"",,"(20 PCS/CTN) L/ S11"
,"Not-active","Inventory Part","TWEED HAT",,,"Other Expenses","Cost of Goods Sold","Inventory Asset",0.00,,0,0.00,,,5.00,"",,
,"Not-active","Inventory Part","V CAP",,,"Other Expenses","Cost of Goods Sold","Inventory Asset",0.00,,0,0.00,,,3.00,"",,
,"Active","Inventory Part","V0327/BLACK","COTTON SUN VISOR, BLACK",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"COTTON SUN VISOR, BLACK",212,1.46,,,2.50,"",," L/W72"
,"Active","Inventory Part","V0327/HOT PINK","COTTON SUN VISOR, HOT PINK 3PCS",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"COTTON SUN VISOR, HOT PINK",38,0.00,,,2.50,"",," L/W72"
,"Active","Inventory Part","V0327/KHAKI","COTTON SUN VISOR,  KHAKI",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"COTTON SUN VISOR, KHAKI",72,0.00,,,2.50,"",," L/W72"
,"Active","Inventory Part","V0327/LT. PINK","COTTON SUN VISOR, LT PINK",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"COTTON SUN VISOR, LT PINK",36,0.00,,,2.50,"",," L/W72"
,"Not-active","Inventory Part","V0327/NAVY","COTTON SUN VISOR, NAVY",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"COTTON SUN VISOR, NAVY",0,1.46,,,2.50,"",,"(12DZ/CTN) L/K7,K6"
,"Active","Inventory Part","V0327/ORANGE","COTTON SUN VISOR, ORANGE 3PCS",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"COTTON SUN VISOR, ORANGE",141,1.46,,,2.50,"",," L/W72"
,"Not-active","Inventory Part","V0327/RED","COTTON SUN VISOR, RED",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"COTTON SUN VISOR, RED",0,0.00,,,2.50,"",,"(12DZ/CTN) L/K7,K6"
,"Active","Inventory Part","V0327/TURQUOISE","COTTON SUN VISOR, TURQUOISE 3PCS",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"COTTON SUN VISOR,TURQUOISE..",240,0.00,,,2.50,"",," L/W72"
,"Active","Inventory Part","V0327/WHITE","COTTON SUN VISOR, WHITE",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"COTTON SUN VISOR, WHITE",72,0.00,,,2.50,"",," L/W72"
,"Not-active","Inventory Part","V1182","BIG VISOR, N/A",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"BIG VISOR, ASSORTED COLOR..(2 DZ/CTN)",0,0.00,,,4.00,"","2011/P5",
,"Not-active","Inventory Part","V1187","BIG VISOR, ASSORTED (2 DZ/CTN) *",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"BIG VISOR, ASSORTED COLOR..(2 DZ/CTN)",0,0.00,,,4.00,"","P9 500 400 350",
,"Active","Inventory Part","V1413","VISOR, ASSORTED. FINAL SALE",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"VISOR, ASSORTED",0,0.00,,,2.50,"","P9 500 400 350","(4 DZ/CTN) L/K4"
,"Active","Inventory Part","V1414","VISOR, ASSORTED. FINAL SALE",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"VISOR, ASSORTED",0,0.00,,,2.50,"","P9 500 400 350"," (4 DZ/CTN) /  K4"
,"Active","Inventory Part","V1415","VISOR, ASSORTED. FINAL SALE",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"VISOR, ASSORTED COLOR",0,0.00,,,2.50,"","P9 600 500 400","(4 DZ/CTN) L/A19"
,"Active","Inventory Part","V1431","VISOR, ASSORTED, FINAL",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"VISOR, ASSORTED",0,0.00,,,2.50,"","P9 600 500 400"," (4DZ/CTN) L/K17"
,"Active","Inventory Part","V1432","VISOR, ASSORTED",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"VISOR, ASSORTED",11,0.00,,,5.00,"","P9 600 500 400"," (4 DZ/CTN) L/31C"
,"Active","Inventory Part","V1433","VISOR, ASSORTED. FINAL SALE",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"VISOR, ASSORTED",0,0.00,,,2.50,"","P9 600 500 400","(4 DZ/CTN) L/K3"
,"Active","Inventory Part","V1805","VISOR, ASSORTED",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"VISOR, ASSORTED",0,0.00,,,4.00,"",,"(4DZ/CTN) L/K6"
,"Active","Inventory Part","V2026","PAPER STRAW CAP VISOR , ASSORTED",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"PAPER STRAW CAP VISOR , ASSORTED",61,0.00,,,5.00,"",,"(4 DZ/CTN) L/F12"
,"Not-active","Inventory Part","V2721/A","VISOR, ASSORTED COLOR",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"VISOR, ASSORTED COLOR",0,0.00,,,5.00,"",,"(144/CTN) L/H13-2"
,"Active","Inventory Part","V2721/BLACK","VISOR, BLACK COLOR 6PCS",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"VISOR, BLACK COLOR",696,0.00,,,6.00,"",,"144/CTN  L/L5"
,"Active","Inventory Part","V2721/GRAY","VISOR, GRAY COLOR 6PCS",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"VISOR, GRAY COLOR",564,0.00,,,6.00,"",,"144/CTN  L/L5"
,"Active","Inventory Part","V2721/HOT PINK","VISOR, HOT PINK COLOR 6PCS",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"VISOR, HOT PINK COLOR",158,0.00,,,6.00,"",,"144/CTN  L/L5"
,"Active","Inventory Part","V2721/LIME GREEN","VISOR, LIME GREEN COLOR 6PCS",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"VISOR, LIME GREEN COLOR",108,0.00,,,6.00,"",,"144/CTN  L/L5"
,"Active","Inventory Part","V2721/ORANGE","VISOR, ORANGE COLOR 6PCS",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"VISOR, ORANGE COLOR",120,0.00,,,6.00,"",,"144/CTN  L/L5"
,"Active","Inventory Part","V2721/ROYAL","VISOR, ROYAL COLOR 6PCS",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"VISOR, ROYAL COLOR",95,0.00,,,6.00,"",,"144/CTN  L/L5"
,"Active","Inventory Part","V2722","COTTON VISOR WITH BOW ON BACK, ASSET",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"COTTON VISOR WITH BOW ON BACK, ASSET",0,0.00,,,6.00,"",,"L/ H14-2"
,"Active","Inventory Part","V2729","CLIP VISOR, ASSORTED COLOR",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"CLIP VISOR, ASSORTED COLOR",0,0.00,,,4.00,"",,"(48/CTN) L/A1"
,"Active","Inventory Part","V2730/BANANA YELLOW","FASHION CLIP SUN VISOR, BANANA YELLOW 3PCS",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"FASHION CLIP SUN VISOR, BANANA YELLOW",0,0.00,,,3.00,"",," (48/CTN) L/B6-B8"
,"Active","Inventory Part","V2730/BLACK","FASHION CLIP SUN VISOR, BLACK",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"FASHION CLIP SUN VISOR, BLACK",0,0.00,,,3.00,"",,"(48/CTN) L/B12-B15"
,"Active","Inventory Part","V2730/GREY","FASHION CLIP SUN VISOR, GREY HANGTAG COLOR IS BEIGE mistake 3PCS",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"FASHION CLIP SUN VISOR, GREY",40,0.00,,,3.00,"",,"(48/CTN) L/B12-B15"
,"Not-active","Inventory Part","V2730/HOT PINK","FASHION CLIP SUN VISOR, HOT PINK",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"FASHION CLIP SUN VISOR, HOT PINK",0,0.00,,,3.00,"",,"(48/CTN) L/B12-B15"
,"Not-active","Inventory Part","V2730/KHAKI","FASHION CLIP SUN VISOR, KHAKI",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"FASHION CLIP SUN VISOR, KHAKI",0,0.00,,,3.00,"",,"(48/CTN) L/B12-B15"
,"Not-active","Inventory Part","V2730/LAVENDER","FASHION CLIP SUN VISOR, LAVENDER",,"Sales Income","Cost of Goods Sold","Inventory Asset",0.00,"FASHION CLIP SUN VISOR, LAVENDER",0,0.00,,,3.00,"",,"(48/CTN) L/B12-B15"
