,"Type","Date","Num","Memo","Name","Item","Qty","Sales Price","Amount","Balance"
,"Invoice","04/03/2017","406156","IVY CAP, NAVY, SMALL","AMERICAN BEAUTY LLC.","IV1860/NAVY-S (IVY CAP, 3 PCS MINIMUM)",12,2.75,33.00,12261.00
,"Invoice","04/03/2017","406156","IVY CAP, NAVY, MEDIUM","AMERICAN BEAUTY LLC.","IV1860/NAVY-M (IVY CAP, 3 PCS MINIMUM)",12,2.75,33.00,12294.00
,"Invoice","04/03/2017","406156","IVY CAP, NAVY, LARGE","AMERICAN BEAUTY LLC.","IV1860/NAVY-L (IVY CAP, 3 PCS MINIMUM)",24,2.75,66.00,12360.00
,"Invoice","04/03/2017","406156","IVY CAP, KHAKI, SMALL","AMERICAN BEAUTY LLC.","IV1860/KHAKI-S (IVY CAP, 3 PCS MINIMUM)",24,2.75,66.00,12426.00
,"Invoice","04/03/2017","406156","IVY CAP, KHAKI, MEDIUM","AMERICAN BEAUTY LLC.","IV1860/KHAKI-M (IVY CAP, 3 PCS MINIMUM)",24,2.75,66.00,12492.00
,"Invoice","04/03/2017","406156","IVY CAP, KHAKI, LARGE","AMERICAN BEAUTY LLC.","IV1860/KHAKI-L (IVY CAP, 3 PCS MINIMUM)",24,2.75,66.00,12558.00
,"Invoice","04/03/2017","406156","IVY CAP, KHAKI, EXTRA LARGE","AMERICAN BEAUTY LLC.","IV1860/KHAKI-XL (IVY CAP, KHAKI, 3 PCS MINIMUM)",24,2.75,66.00,12624.00
,"Invoice","04/03/2017","406156","IVY CAP, GRAY, SMALL","AMERICAN BEAUTY LLC.","IV1860/GRAY-S (IVY CAP, 3 PCS MINIMUM)",24,2.75,66.00,12690.00
,"Invoice","04/03/2017","406156","IVY CAP, GRAY, MEDIUM","AMERICAN BEAUTY LLC.","IV1860/GRAY-M (IVY CAP, 3 PCS MINIMUM)",24,2.75,66.00,12756.00
,"Invoice","04/03/2017","406156","IVY CAP, GRAY, LARGE","AMERICAN BEAUTY LLC.","IV1860/GRAY-L (IVY CAP, 3 PCS MINIMUM)",24,2.75,66.00,12822.00
,"Invoice","04/03/2017","406156","IVY CAP, GRAY, EXTRA LARGE","AMERICAN BEAUTY LLC.","IV1860/GRAY-XL (IVY CAP, 3 PCS MINIMUM)",24,2.75,66.00,12888.00
,"Invoice","04/03/2017","406156","IVY CAP, BROWN, SMALL","AMERICAN BEAUTY LLC.","IV1860/BROWN-S (IVY CAP, 3 PCS MINIMUM)",12,2.75,33.00,12921.00
,"Invoice","04/03/2017","406156","IVY CAP, BROWN, MEDIUM","AMERICAN BEAUTY LLC.","IV1860/BROWN-M (IVY CAP, 3 PCS MINIMUM)",12,2.75,33.00,12954.00
,"Invoice","04/03/2017","406156","IVY CAP, BROWN, LARGE","AMERICAN BEAUTY LLC.","IV1860/BROWN-L (IVY CAP, 3 PCS MINIMUM)",24,2.75,66.00,13020.00
,"Invoice","04/03/2017","406156","IVY CAP, BROWN, EXTRA LARGE","AMERICAN BEAUTY LLC.","IV1860/BROWN-XL (IVY CAP, 3 PCS MINIMUM)",24,2.75,66.00,13086.00
,"Invoice","04/03/2017","406156","IVY CAP, RUST, SMALL","AMERICAN BEAUTY LLC.","IV1860/RUST-S (IVY CAP, 3 PCS MINIMUM)",12,2.75,33.00,13119.00
,"Invoice","04/03/2017","406156","IVY CAP, RUST, MEDIUM","AMERICAN BEAUTY LLC.","IV1860/RUST-M (IVY CAP, 3 PCS MINIMUM)",12,2.75,33.00,13152.00
